N° (original);Disponible Nov 2024;Nombre vulgar;lat;lon;Zona;ruta mapa;Categoria;Nombre Científico;Familia;Observaciones;Fijador de Nitrógeno;Acumulador Dinámico;Minerales;Propiedades;Época de siembra (CHILE);Método;Profundidad de Siembra;Tiempo de germinar;Transplante;Distancia entre (Plantas);Distancia entre (hileras);Tiempo para cosechar;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Meses UNIRCADENAS
;No;"Bambu
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Árboles y Arbustos Ornamentales;"Bambousa spp.
";"Gramineas
Poaceas";Prefiere suelos húmedos y ricos en materia orgánica. Requiere riego constante y espacio para crecer.;No;No;No aplica;"El cocimiento de dos pedazos de la raíz (del tamaño del dedo grande cada uno de ellos) en un jarro de agua-Se usa contra las
infecciones de la matriz, riñones y artritis-Tónico para los pulmones-Remineralizante-Laxante suave-";Septiembre - Octubre;Esquejes;-;20 a 30 días;-;1 m;2 m;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Canelo;-33.6843683;-70.9505468;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Drimys winteri ;Winteraceae;Prefiere suelos húmedos y bien drenados. Necesita sombra parcial y protección contra heladas.;No;No;No aplica;Antiespasmódico-Antibacteriano-Vermífugo-Analgésico-Cicatrizante;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;1 m;2 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
31;Sí;"Cipres
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;"Cupressus sempervirens
";"Cupresaceas
";Tolera suelos pobres y sequía. Prefiere pleno sol y es resistente a condiciones adversas.;No;No;No aplica;"Externo:Afirma los vasos sanguineos-Exceso sudor(conos)
Interno:Antiespasmódico-Tónico general-Tos, gripe";Invierno (junio a agosto);Almacigo;2 cm;30 a 50 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Ciruelo 2;-33.6843394;-70.9504953;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prunus cerasifera ;Rosaceae;Prefiere suelos fértiles y bien drenados. Necesita exposición al sol y poda regular.;No Información;No Información;No Información;;;-;-;-;-;-;-;-;;;;;;;;;;;;;
;Sí;Ciruelo de jardín;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prunus cerasifera;Rosaceas;Prefiere suelos fértiles y bien drenados. Requiere riego moderado y exposición al sol.;No;No;No aplica;Laxante;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Espino;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Acacia caven;Leguminosas-Fabaceas;Tolera suelos pobres y secos. Prefiere pleno sol y es resistente a la sequía.;Sí;No;No aplica;Fruto molido bebida(como café)-Estimulante-Digestiva. Corteza:Astringente, Cura heridas.;Julio - Agosto;Directa;2 cm;14 a 20 días;-;1 m;2 m;-;;;;;;;Julio;Agosto;;;;;"Julio;Agosto"
66;No;Eucalipto;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Eucalyptus globulus;Mirtaceas;Tolera suelos pobres y secos. Requiere pleno sol y espacio para crecer.;No;No;No aplica;Antiséptico-Expectorante-Estimula el flujo sanguineo local;Invierno (junio a agosto);Almacigo;2 cm;30 a 50 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Ginkgo biloba;-33.684299;-33.684299;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Ginkgo biloba;Ginkgoaceas;Prefiere suelos profundos y bien drenados. Tolera suelos pobres y condiciones urbanas.;No;No;No aplica;Hojas: Contienen Flavonoides-Mental-Mejora visión-Despega arterias y Venas;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 50 días;-;3 m;4 m;4 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
8;Sí;Huingan;-33.6840325;-70.9504041;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Schinus polygamus;Anacardaceas;Tolera suelos secos y pobres. Prefiere pleno sol y es resistente a la sequía.;No;No;No aplica;Sirve para:Desinfectar heridas-Nubes de los ojos-Galactógeno-Purgativa-Digestiva;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Lleuque;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Prumnopitys;Podorcapaceas;Prefiere suelos húmedos y sombreados. Crecimiento lento.;No;No;No aplica;Usado en carpintería y ebanistería-Propiedades antimicrobianas-Tradicionalmente utilizado en infusiones;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Maiten;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Maytenus boaria;Celasteceas;Prefiere suelos húmedos y bien drenados. Tolera sombra parcial y temperaturas moderadas.;No;No;No aplica;Hojas:Antifebrífugas-Sirve para:Lavar y curar erupciones cutáneas(Litre)-Purgativo;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
36;Sí;Matico;-33.6844007;-70.9505281;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Buddleja globosa ;Scrophulariaceae;Prefiere suelos húmedos y bien drenados. Tolera sombra parcial y riego constante.;No;No;No aplica;Vulnerario-Lavar heridas-Ataques al hígado-Contra catarros intestinales-Antimicótico-Antiinflamatorio;Agosto - Octubre;Esquejes;-;20 a 30 días;-;1 m;1.5 m;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
9;Sí;"Molle
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;"Schinus molle
Schinus areira";Anacardaceas;Tolera suelos pobres y sequía. Prefiere pleno sol.;No;No;No aplica;"Antiinflamatorio-Cicatrizante-Emenagogo-Antiespasmódico-Antibacteriano-Antifúngico
Frutos se pueden usar como pimienta";Invierno (junio a agosto);Almacigo;2 cm;30 días;-;2 m;3 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
32;Sí;Olivo de(del) otoño;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Eleaegnus umbellata;Elaegnaceas;Tolera suelos pobres y secos. Prefiere pleno sol y es resistente a la sequía.;Sí;Sí;Mg-Ca-K-P-Fe-Cu-Zn-Na;Antioxidante-Decrece las probabilidades de cáncer de próstata-Contiene Licopeno;Primavera (septiembre a noviembre);Directa;2 cm;14 días;-;1 m;2 m;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
62;No;"Pata de vaca 
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;"Bahuina forficata
Bahuina candicans";Leguminosas-Fabaceas;Necesita suelos fértiles y bien drenados. Prefiere climas templados y cálidos.;No;No;No aplica;"Hipoglicemiante Insulino vegetal-Anticatarral-Estomacal-Hojas:Purgantes
";Agosto - Octubre;Almacigo;2 cm;20 a 30 días;-;2 m;3 m;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Peumo;-33.6842368;-70.9505807;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Cryptocarya alba ;Lauraceae;Prefiere suelos húmedos y sombra parcial. Tolera climas templados.;No;No;No aplica;;;-;-;-;-;-;-;-;;;;;;;;;;;;;
;Hemos tenido;Pewen-Araucaria;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Árboles y Arbustos Ornamentales;Araucaria araucana;Araucanaceas;Necesita suelos profundos y bien drenados. Prefiere climas templados y frescos.;No;No;No aplica;Contiene:Alto valor nutricional-Proteinas-Almidón-Resina para úlceras;Invierno (junio a agosto);Almacigo;5 cm;30 a 50 días;-;5 m;6 m;10 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;No;Pichi;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Fabiana imbricata;Solanaceas;Tolera suelos pobres y secos. Prefiere pleno sol y es resistente a la sequía.;No;No;No aplica;Sirve para:Vias urinarias-Inflamaciones de vejiga, Hígado y vías Respiratorias;Septiembre - Octubre;Almacigo;1 cm;10 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Pimiento;-33.6843467;-70.9505528;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;Schinus molle ;Anacardiaceae;Necesita temperaturas cálidas y luz solar directa. Evitar exceso de humedad en el suelo.;No;Sí;Mg-K;Estimulante circulatorio-Carminativo-Antiinflamatorio-Analgesico;Julio a Agosto;Almacigo;1 cm;3 a 5 días;Octubre;30 cm;60 cm;90 días;;;;;;;Julio;Agosto;;;;;"Julio;Agosto"
;Sí;"Tagasaste
";-33.6841201;-70.9504252;Zona 3: Bosque Comestible;images/zona3_bosque.png;Árboles y Arbustos Ornamentales;"Chamaecytisus palmensis
Cytisus proliferum";Leguminosas-Fabaceas;Prefiere suelos bien drenados y exposición al sol. Tolera condiciones adversas.;Sí;No;No aplica;"Melífero
";Agosto - Octubre;Directa;2 cm;14 a 20 días;-;2 m;3 m;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Almendro;-33.6841383;-70.9504285;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Prunus dulcis/amygdalus;Rosaceas;Prefiere suelos bien drenados y exposición al sol. Tolera la sequía, pero requiere riego en etapas de fructificación.;No;No;No aplica;Emoliente-Laxante-Antiinflamatorio-Antioxidante-Alimento nutritivo;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;4 m;5 m;4 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
35;Sí;Arándano;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Vaccinum myrtillus;Ericaceas;Prefiere suelos ácidos y bien drenados. Requiere sombra parcial y riego constante.;No;No;No aplica;Laxantes(fruto maduro)-Frutos verdes:Constriñen-Antibacteriano-Uso de enjuage bucal;Invierno (Junio - Agosto);Almacigo;1 cm;20 a 30 días;-;50 cm;70 cm;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
68;Sí;"Arazá
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Eugenia stipitata
Psidium cattlenanum";Mirtaceas;Prefiere suelos húmedos y bien drenados. Necesita exposición al sol y riego moderado.;No;No;No aplica;"Contiene: Vitamina C-A-B1-Enérgetica-Fortalece sistema inmune-Depurativo-Indigestión
";Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
78;Sí;Cerezo;-33.6840912;-70.9504168;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Prunus avium ;Rosaceae;Necesita suelos profundos y fértiles. Requiere frío invernal para una buena producción de frutos.;No;No;No aplica;Diurético-Astringente-Expectorante;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;No;"Chirimoya
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Annona cherimola
";"Anonacceas
";Necesita suelos fértiles y húmedos. Prefiere climas cálidos y protección contra el viento.;No;No;No aplica;"Regula presión arterial-Antimicrobiano-Digestivo-Antioxidante-Antidepresivo-Tranquilizante- 
Contiene:Vitaminas A,B,C-Minerales:Fe-Ca-P";Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Ciruelo;-33.6841472;-70.9505528;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Prunus domestica;Rosaceas;Prefiere suelos profundos y húmedos. Necesita exposición al sol.;No;No;No aplica;Antioxidante-Pulpa laxante-Contiene:Vitaminas A-E-Minerales;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;1 m;2 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Clementina;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus x clementina;Rutaceas;Requiere suelos bien drenados y riego constante. Sensible a heladas. Prefiere climas cálidos.;No;No;No aplica;Antioxidante-Antibacteriana-Broncodilatador-Antiinflamatoria-Reduce presión arterial-Diurético-Vit.C, B-Contiene fibra;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;1.5 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Damasco Imperial;-33.684361;-70.950487;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Prunus armeniaca
";Rosaceas;Necesita suelos profundos, fértiles y bien drenados. Sensible a heladas primaverales. Riego moderado.;No;No;No aplica;"Laxante suave-Astringente-Calma afecciones de la piel-Alto contenido vitamina A-Minerales-Elimina
Parasitos intestinales-Para piel y vista";Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Durazno;-33.6841695;-70.950463;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Prunus persica ;Rosaceae;Prefiere climas cálidos y suelos fértiles. Requiere poda anual y riego constante. Sensible a heladas.;No;No;No aplica;Contiene: Vitamina A, B1, B2, E, K y C-Protege la piel-Disminuye el colesterol-Controla el azucar;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
67;Sí;Feijoa;-33.6841132;-70.9505023;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Acca sellowiana;Mirtaceas;Prefiere suelos ácidos y bien drenados. Tolera sequías moderadas y requiere exposición al sol.;No;No;No aplica;Alto contenido vitamínico-Antioxidante-Tónico-Estabiliza colesterol-Ayuda tiroides.;Primavera (septiembre a noviembre);Almacigo;2 a 3 cm;15 a 20 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Fisalis
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;"Physalis alkenkengi
Physalis franchetti";Solanaceas;Prefiere suelos bien drenados y riego moderado. Requiere exposición al sol y protección contra heladas.;No;No;No aplica;"Diurético-Se usa para:Bajar la fiebre-Reduce y elimina el ácido úrico por la orina-
Vitamina C-Laxante moderado";Agosto - Octubre;Almacigo;0.5 cm;10 a 15 días;-;50 cm;70 cm;90 días;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;"Frambueso
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Rubus ideaus
";Rosaceas;Prefiere suelos húmedos y bien drenados. Requiere poda regular.;No;No;No aplica;"Astringente-Antioxidante-Depurativo-Diurética-Contiene:Vitamina C-Calcio
Para el parto-Alivia diarrea-Externo:Colirio, Conjuntivitis, boca y heridas";Invierno (junio a agosto);Almacigo;3 cm;20 a 30 días;-;1 m;2 m;2 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Frutillas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;"Fragaria vesca
Fragaria x ananossa";Rosaceas;Prefiere suelos ácidos y bien drenados. Necesita exposición al sol y riego constante.;No;No;No aplica;"Astringente-Diurético-Gargarismos-Antioxidante-Para la visión- 
Rica en Vitamina C- Fuente de minerales-Estreñimiento";Abril a Mayo;Esplón;5 a 8 cm;-;-;20 cm;15 cm;120 días;;;;Abril;Mayo;;;;;;;;"Abril;Mayo"
64;Sí;Granado;-33.6843122;-70.9505656;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Punica granatum;Litraceas;Tolera suelos pobres y sequía. Prefiere climas cálidos y exposición al sol. Necesita riego moderado.;No;No;No aplica;Contra lombrices-Astringente;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;4 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
40;Sí;"Grosella
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Ribes sativum
Ribes uva-crispo";"Grosulaceas
";Prefiere suelos húmedos y ricos en materia orgánica. Necesita poda regular y exposición al sol.;No;Sí;I;"Antioxidante-Sirve para:Prototección de vasos sanguineos-Visión
";Invierno (junio a agosto);Almacigo;1 cm;10 a 15 días;-;40 cm;60 cm;120 días;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Guindo;-33.6842005;-70.9504727;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Prunus cerasus;Rosaceas;Requiere suelos fértiles y bien drenados. Prefiere climas templados.;No;No;No aplica;Antiinflamatorio-Desintoxicante-Remineralizante;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;1 m;2 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
69;Sí;Higuera;-33.6840764;-70.9505312;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Ficus carica;Moraceas;Tolera suelos pobres y sequía. Prefiere climas cálidos y exposición al sol. Sensible al frío extremo.;No;No;No aplica;Laxante suave-Inflamación de encías-Ligeramente expectorante-Analgésico.;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Hemos tenido;"Kaki
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Diospyros kaki
";Ebenáceas;Prefiere climas templados y suelos fértiles. Requiere riego moderado y exposición al sol.;No;No;No aplica;"Estreñimiento-Se usa para:Controlar niveles de colesterol-Sistema inmunológico-Hipertensión-Diarrea
Contiene:Vitaminas C,B1,B2,A";Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;No;Kiwi;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Actinidia deliciosa;Actinidaceas;Prefiere climas templados y suelos húmedos pero bien drenados. Necesita estructuras de soporte y polinización cruzada.;No;No;No aplica;Antioxidante-Controla el azúcar de  la sangre-Contiene:Vitamina C, Minerales:P-Fibra-Ácido fólico;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;2 m;3 m;4 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Lima;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus aurantifolia;Rutaceas;Necesita suelos bien drenados y pleno sol. Riego moderado. Sensible a temperaturas frías.;No;No;No aplica;Diurético-Depurativa-Reconstituyente-Refuerza sistema inmune-Expectorante-Antiséptico;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Limón;-33.6842794;-70.9505534;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus limon;Rutaceas;Requiere suelos fértiles y bien drenados. Sensible a las heladas y necesita riego constante. Prefiere pleno sol.;No;No;No aplica;Antiséptico-Antirreumático-Antibacteriano-Antioxidante-Febrífugo;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;2 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Mandarina;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus reticulata;Rutaceas;Prefiere climas cálidos y suelos bien drenados. Necesita riego moderado y protección contra heladas.;No;No;No aplica;Antioxidante-Reduce riesgo de cáncer-Sirve para:Colesterol-Presión arterial-Salud de la piel-Contiene:Vit.C;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;1.5 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;No;Mango;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Mangifera indica;Anacardaceas;Necesita climas cálidos y húmedos. Prefiere suelos bien drenados y riego moderado. Sensible a heladas.;No;No;No aplica;Vit.:C, A, E-Minerales:Mg, K, ácido tártico, málico-Previene enfermedades degenerativas-Fluidifica la sangre-Estimula defensas;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Manzano
";-33.6840589;-70.9503793;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Malus domestica
Malus punila";Rosaceas;Prefiere suelos fértiles y bien drenados. Necesita polinización cruzada y poda regular para mejorar la producción.;No;No;No aplica;"Reduce colesterol en la sangre-Controla presión arterial-Reduce riesgo de ataque cardiaco
";Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Maqui;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;Aristotelia chilensis;Elaecocardaceas;Prefiere suelos húmedos y ricos en nutrientes. Necesita pleno sol o sombra parcial. Sensible a sequías prolongadas.;No;No;No aplica;Analgésico-Antiespasmódico-Antiséptico-Astringente-Antiinflamatorio;Invierno (junio a agosto);Almacigo;2 cm;30 días;-;1 m;2 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Melón;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;Cucumis melo;Cucurbitaceas;Prefiere temperaturas cálidas y suelos arenosos. Evitar suelos con retención de agua.;No;No;No aplica;Depurativo-Antiinflamatorio-Reduce tensión arterial-Contiene:Vitaminas A,E,C,B9 y Minerales;Sept. a febrero;Dire/Alm;1 a 2 cm;3 a 7 días;30 a 40 días;50 cm;1 mt;120 días;Enero;Febrero;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Membrillo;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Cydonia oblonga;Rosaceas;Prefiere suelos fértiles y bien drenados. Requiere pleno sol y riego moderado.;No;No;No aplica;Astringente-Úlceras bucales, encías-Digestivo. Semillas:Bronquitis y laxante;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;"Mora
";;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Rubus fruticosus
";Rosaceas;Crece bien en suelos húmedos y ricos en materia orgánica. Requiere poda para un mejor control del crecimiento.;No;No;No aplica;"Vulneraria-Antibacteriana-Astringente-Antiinflamatoria-Diurética-Antiséptica-Laxante-Febrífuga-Analgésica
Externo:Úlceras de la piel, llagas, forúnculos, inflamaciones lengua, laringe, problemas de encías-Hemorroides";Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;2 m;3 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
