N° (original);Disponible Nov 2024;Nombre vulgar;lat;lon;Zona;ruta mapa;Categoria;Nombre Científico;Familia;Observaciones;Fijador de Nitrógeno;Acumulador Dinámico;Minerales;Propiedades;Época de siembra (CHILE);Método;Profundidad de Siembra;Tiempo de germinar;Transplante;Distancia entre (Plantas);Distancia entre (hileras);Tiempo para cosechar;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Meses UNIRCADENAS
70;Sí;"Morera
";-33.6841457;-70.9503536;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Morus alba
Morus nigra";Moraceas;Prefiere suelos profundos y bien drenados. Necesita pleno sol para una mejor producción de frutos.;No;Sí;"Mg-Ca-K-P-Fe-Cu-Zn-Na
";"Hojas:Expectorante-Se usa para:Fiebre, ojos irritados.Inflamación de garganta, jaqueca,
mareos y vértigos-Hipoglicemiante";Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Naranjo;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus sinensis;Rutaceas;Requiere suelos bien drenados y exposición al sol. Sensible a las heladas y necesita riego constante.;No;No;No aplica;Antioxidante-Digestivo-Depurativo-Sirve para:Prevención de diabetes-Cuidar la piel-Anemia-Contiene: Vit. C;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;1.5 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;No;Naranjo amargo;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus aurantium;Rutaceas;Prefiere suelos fértiles y bien drenados. Necesita pleno sol y riego moderado. Tolera mejor las heladas que otros cítricos.;No;No;No aplica;Tranquilizante-Antiespasmódico-Carminativa-Antifebrífugo-Hemostático-Ligeramente sedante;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Níspero;-33.6840926;-70.9506009;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Eriobotrya japonica;Rosaceas;Prefiere suelos bien drenados y exposición al sol. Tolera sequías moderadas y requiere riego moderado.;No;No;No aplica;Diurético-Reduce colesterol-Cuida el hígado-Reduce glucosa-Contiene:Vitaminas B, C y Minerales;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Nogal
";-33.684133;-70.9506107;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;"Juglans regia
";"Juglanceas
";Prefiere suelos profundos y bien drenados. Necesita espacio para su desarrollo y pleno sol. Sensible a heladas tardías.;No;No;No aplica;"Antimicótico-Astringente-Antibacteriano-Vermífugo-Hipoglicemiante-Tónico. Nuez:Vit.B,C,A,E-Minerales:P-K-
Afecta de forma positiva al cerebroAntioxidante-Hojas:Diarrea-Debilitamiento físico-Aperitiva-Diurética";Invierno (junio a agosto);Almacigo;5 cm;30 a 60 días;-;5 m;5 m;7 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
71;Sí;Olivo;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Olea europea;Oleaceas;Tolera suelos pobres y sequía. Prefiere climas cálidos y exposición al sol. Evitar suelos encharcados.;No;No;No aplica;Hojas: Baja tensión sanguinea-Ayuda a la circulacion-Diurética-Antidiabético;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;5 m;6 m;5 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
55;Sí;"Palto
";-33.6841966;-70.9505539;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Persea americana ;Lauraceae;Prefiere suelos fértiles y bien drenados. Necesita riego constante y protección contra heladas.;No;No;No aplica;"Astringente-Carminativo-Antitusígeno-Favorece el flujo menstrual
Piel: Elimina lombrices. Pulpa: Emoliente-Carminatvo";Invierno (Junio - Agosto);Almacigo;5 cm;30 a 50 días;-;3 m;4 m;4 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Parrón;-33.6842883;-70.9504175;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Vitis vinifera ;Vitaceae;Necesita suelos bien drenados y exposición al sol. Requiere poda para mejorar producción y riego moderado.;No Información;No Información;No Información;;;-;-;-;-;-;-;-;;;;;;;;;;;;;
;Sí;Pepino de fruta;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Solanum muricatum;Solanaceas;Prefiere suelos bien drenados y exposición al sol. Requiere riego moderado y protección contra heladas.;No;No;No aplica;Antioxidante-Antiinflamatorio-Elimina colesterol-Regula hipertensión;Primavera (septiembre a noviembre);Esquejes;-;15 a 20 días;-;50 cm;70 cm;120 días;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Peral;-33.6840884;-70.9503446;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Pyrus communis;Rosaceas;Prefiere suelos fértiles y bien drenados. Necesita exposición al sol y poda regular para mejorar la producción de frutos.;No;No;No aplica;Diurético-Antioxidante-Astringente-Antiinflamatorio-Laxante suave;Invierno (junio a agosto);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;No;Pistacho;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Pistacia vera;Anacardaceas;Prefiere climas cálidos y secos. Necesita suelos bien drenados y riego moderado. Requiere polinización cruzada.;No;No;No aplica;Antioxidante-Antiinflamatoria-Ayuda a: Controlar el peso-Salud cardiaca y el colesterol-Nivela el azúcar;Invierno (junio a agosto);Almacigo;4 cm;20 a 30 días;-;5 m;5 m;5 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;No;Pomelo;;;Zona 3: Bosque Comestible;images/zona3_bosque.png;Frutales;Citrus x paradisi;Rutaceas;Necesita suelos fértiles y bien drenados. Requiere pleno sol y riego regular. Sensible al frío.;No;No;No aplica;Antioxidante-Astringente-Antibacteriano-Regenera sistema inmune-Efecto laxante-Salud de encías;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;1.5 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Sandía;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;Citrullus lanatus;Cucurbitaceas;Requiere temperaturas cálidas y exposición al sol. Prefiere suelos bien drenados.;No;No;No aplica;Diurético-Semillas ricas en vitamina E-Contiene 90% de agua;Sept. a febrero;Dire/Alm;2 a 3 cm;6 a 8 días;30 a 40 días;50 cm;1 mt;120 días;Enero;Febrero;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;"Tomate de árbol
";;;Zona 0: Viviendas;images/zona0_viviendas.png;Frutales;"Solanum betaceum
Cyphomandra betacea";Solanaceas;Prefiere suelos bien drenados y exposición al sol. Requiere protección contra heladas.;No;No;No aplica;"Sirve para:Afecciones de garganta y Gripe-Problemas hepáticos-Proporciona nutrientes
";Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;No;Nopal;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Frutales;Opuntia ficus-indica;Cactaceas;Tolera suelos pobres y sequía. Prefiere pleno sol y riego ocasional.;No;Sí;Si-K;Frutos:Astringente-Contiene vitaminas y minerales. Palas:Emoliente-Diurética;Agosto - Octubre;Esquejes;-;20 a 30 días;-;1 m;2 m;1 año;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;"Uva
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Frutales;"Vitis vinifera
";"Vitaceas
";Necesita suelos bien drenados y exposición al sol. Requiere poda para un mejor desarrollo.;No;No;No aplica;"Antioxidante-Sirve para:Mejorar circulación sanguinea-Fibriomalgia-Enfermedades piel(psoriasis y eczemas 
Hojas:Astringente-Antiinflmatorias-Úlceras bucales-Laxante bajo-Desintoxicante-Expectorante(pasas)";Invierno (junio a agosto);Estacas;-;20 a 30 días;-;1.5 m;2 m;3 años;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
;Sí;Acelga;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Beta vulgaris;Amarantaceas;Prefiere suelos profundos y fértiles. Necesita riegos regulares pero moderados.;No;Sí;B;Diuretica-Colerético-Mejora sistema inmunológico-Mejora visión y piel-Contiene Hierro;Todo el año;Dire/alm;2 cm;7 a 9 días;20 a 40 días;20 cm;60 cm;90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;No;Achicoria;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Cichorium intybus;Asteraceas;Prefiere suelos ricos en nutrientes. Resistente a la sequía.;No;Sí;Mg-Ca-K-P-Fe-Cu;Hepatoprotector-Digestivo-Diurético-Laxante suave-Depurativo;Todo el año;Directa;0,5 cm;-;-;3 cm;30 cm;50 a 70 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Ají;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Capsicum annuum;Solanaceas;Necesita temperaturas cálidas y luz solar directa. Evitar exceso de humedad en el suelo.;No;Sí;Mg-K;Expectorante-Antioxidante-Cicatrizante-Antibacteriano-Se usa para:Piel-Contiene:Vit.A,C.;Julio a Agosto;Almacigo;-;-;-;40 cm;45 cm;60 a 90 días;;;;;;;Julio;Agosto;;;;;"Julio;Agosto"
2;Sí;Ajo;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Allium sativum
";Aliaceas-Liliaceas (Amaryllidaceae);Punta de ajo hacia arriba;No;Sí;"S-P-Mn-Na-Ca
";"Antibiótico-Expectorante-Sudorífico-Baja la tensión sanguinea
Anticoagulante-Antidiabético-Vermífugo";Abril a Agosto;Directa;2 a 4 cm;-;-;10 cm;20 cm;180 días;;;;Abril;Mayo;Junio;Julio;Agosto;;;;;"Abril;Mayo;Junio;Julio;Agosto"
20;Sí;Alcachofa;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Cynara scolymus
Cynara cardunculus";Asteraceas;Necesita suelos profundos y ricos en nutrientes. Requiere riego constante y pleno sol.;No;Sí;Mg-Ca-K-P-Fe-Cu-Na;"Protege el hígado-Estimula secreción de bilis-Baja niveles de colesterol-
Diurético.";Febrero y marzo;Hijuelos;4 cm;-;Agosto;70 cm;1 mt;80 a 90 días;;Febrero;Marzo;;;;;;;;;;"Febrero;Marzo"
5;Sí;Amaranto;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Amaranthus hypochondriacus;Amarantaceas;Tolera suelos pobres, prefiere pleno sol y riego moderado. Evitar encharcamientos.;No;Sí;K ;Astringente-Trata diarrea-Menstruación excesiva-Disentería-Gárgaras faringe;Septiembre - Octubre;Directa;1 cm;5 a 10 días;-;30 cm;60 cm;90 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Apio;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Apio graveolens
";Umbelíferas-Apiaceas;Requiere suelos húmedos y ricos en materia orgánica. Evitar sequías prolongadas.;No;Sí;P;"Antirreumático-Carminativo-Antiespasmódico-Diurético
Baja la tensión sanguinea- Antiséptico urinario";Todo el año;Almacigo;0,2 cm;15 a 20 días;a los 70 días;30 cm;70 cm;70 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Berenjena;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Solanum melongena
";Solanaceas;Sensible al frío, necesita temperaturas cálidas. Prefiere suelos ricos en nutrientes.;No;No;No aplica;"Antioxidante-Diurético-Emoliente-Fruto:Baja niveles de colesterol y regula tensión arterial
Sirve para:Combatir el cáncer-Combatir el envejecimiento celular-Infecciones virus y bacterias- Protege corazón";Sept. a Dic.;Almacigo;0,5 a 1 cm;5 a 10 días;50 a 60 días;40 cm;70 cm;90 días;;;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Betarragas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Beta vulgaris;Aliaceas-Liliaceas (Amaryllidaceae);Prefiere suelos profundos y fértiles. Necesita riegos regulares pero moderados.;No;Sí;B;Remineralizante-Depurativo-Cardioprotector-Fortalece el sistema inmunológico;Agos. a Sept.;Almacigo;2 cm;-;-;15 cm;30 cm;90 días;;;;;;;;Agosto;Septiembre;;;;"Agosto;Septiembre"
;Sí;Brócoli;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Brassica oleracea var. italica;Boraginaceas;Prefiere climas frescos. Necesita suelos fértiles y riego regular.;No;Sí;P;Se usa para: Protege contra diabetes-Elimina toxinas-Protege la piel-Evita estreñimiento-Fuente de proteinas;Todo el año;Almacigo;0,5 a 1 cm;8 a 10 días;30 a 40 días;40 cm;-;-;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Cebolla tardía;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Allium cepa;Aliaceas-Liliaceas (Amaryllidaceae);Requiere suelos bien drenados y ricos en materia orgánica. Evitar el exceso de humedad.;No;Sí;S-Ca-Na;Antibacteriano-Digestivo-Diurético-Expectorante-Antioxidante;Abril;Almacigo;1 cm;8 a 10 días;A los 20 cm;15 cm;25 cm;100 días;;;;Abril;;;;;;;;;Abril
;No;Cebolla Temprana;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Allium cepa;Aliaceas-Liliaceas (Amaryllidaceae);Requiere suelos bien drenados y ricos en materia orgánica. Evitar el exceso de humedad.;No;Sí;S-Ca-Na;Antibacteriano-Digestivo-Diurético-Expectorante-Antioxidante;Oct. a Febrero;Almacigo;1 cm;8 a 10 días;A los 20 cm;15 cm;25 cm;100 días;Enero;Febrero;;;;;;;;Octubre;Noviembre;Diciembre;"Enero;Febrero;Octubre;Noviembre;Diciembre"
3;Sí;"Cebolla
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Allium cepa
";Aliaceas-Liliaceas (Amaryllidaceae);Necesita suelos sueltos y bien drenados. Evitar exceso de agua para prevenir pudrición. Prefiere clima templado.;No;Sí;"S-Ca-Na
";"Diurético-Antibiótico-Antiinflamatorio-Analgésico-Reduce hipertensión-Expectorante-Antirreumático
Contiene:Vitaminas A,B,C,E";Abril - Mayo;Almacigo;2 cm;7 a 14 días;-;20 cm;30 cm;90 días;;;;Abril;Mayo;;;;;;;;"Abril;Mayo"
;Hemos tenido;Coles de Bruselas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Brassica oleracea var. gemnifera;Boraginaceas;Tolerante a bajas temperaturas. Requiere rotación de cultivos para evitar plagas.;No;Sí;P;Diurético-Previene cáncer-Ayuda sistema inmunológico-Contiene:Vit.C,E,B3,B2,B6,B1,B9 y Minerales;Abril a Noviem.;-;0,5 a 1 cm;8 a 10 días;90 días;-;-;150 días;;;;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;;"Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre"
;Sí;Coliflor;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Brassica oleracea var. Botritis;Boraginaceas;Prefiere climas frescos y suelos ricos. Susceptible a plagas como la mosca blanca.;No;Sí;P;Diurética-Se usa para:Reducir problemas cardiovasculares-Reduce presión arterial-Contra cáncer de colon-Refuerzas defensas;Todo el año;Almacigo;0,5 a 1 cm;5 a 6 días;a los 90 días;40 cm;70 cm;130 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;No;Escarola;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Cichorium endivia;Asteraceas;Prefiere climas frescos y suelos bien drenados. Evitar la sequía prolongada.;No;Sí;Mg-Ca-K-P-Fe-Cu;Digestivo-Depurativo-Fuente de vitaminas A y C-Mejora la digestión;Todo el año;Dire/alm;1 a 1,5 cm;8 a 10 días;20 a 40 días;10 cm;30 cm;90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
4;Sí;"Espárrago
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Asparagus officinalis
";Aliaceas-Liliaceas (Amaryllidaceae);Requiere suelos bien drenados y riego constante. Prefiere climas templados.;No;Sí;Mg-Ca-K-Mn-Fe;"Antioxidante-Aporta nutrientes-Elimina líquidos tóxicos-Diurético
";Septiembre a noviembre;Almacigo;10 cm;30 a 40 días;-;30 cm;50 cm;2 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
6;Sí;Espinacas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Spinacia oleracea;Amarantaceas;Prefiere climas frescos y suelos fértiles. Evitar altas temperaturas.;No;Sí;P;Antioxidante-Nivela glucosa-Reduce estrés oxidativo-Para:Presión arterial-Contiene: Vit. A-B-Nutrientes;Todo el año;Directa;1 a 2 cm;5 a 7 días;-;15 cm;30 cm;60 a 90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;"Espuela de galán-
Capuchina";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Tropaleum majus
";"Tropeolaceas
";Requiere suelos fértiles y bien drenados. Prefiere sombra parcial y riego constante.;No;No;No aplica;"Antibiótica-Antisético-Semillas molidas son purgantes
";Primavera (septiembre a noviembre);Directa;1 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Lechuga;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Lactuca sativa;Asteraceas;Necesita riego constante y suelos bien drenados. Evitar el calor extremo.;No;Sí;Mg-Ca-K-P-Fe-Cu;Hipoglucemiante-Calmante sistema nervioso-Refrescante-Contiene:Vitaminas A,B,C-Minerales;Todo el año;Dire/alm;0,5 cm;7 a 8 días;20 a 40 días;20 cm;30 cm;90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Lechuga mostaza;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Brassica rapa;Boraginaceas;Prefiere suelos fértiles y bien drenados. Requiere riego constante y prefiere climas frescos.;No;Sí;P;Desintoxicante-Antioxidante-Fuente de vitaminas C y K-Anti cancerígeno;Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;90 días;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;Sí;Papas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Solanum tuberosum;Solanaceas;Requiere suelos sueltos y bien drenados. Evitar suelos muy húmedos para prevenir enfermedades.;No;No;No aplica;Úlceras pépticas-Calma dolores de articulaciones y de espalda-Jaqueca;Agosto a Sept.;Directa;7 a 8 cm;20 a 40 días;-;30 cm;70 cm;90 días;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
;No;Papas tardias;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Solanum tuberosum;Solanaceas;Requiere suelos sueltos y bien drenados. Evitar suelos muy húmedos para prevenir enfermedades.;No;No;No aplica;Úlceras pépticas-Calma dolores de articulaciones y de espalda-Jaqueca;Agosto a Sept.;Directa;7 a 8 cm;20 a 40 días;-;30 cm;70 cm;90 días;;;;;;;;Agosto;Septiembre;;;;"Agosto;Septiembre"
;No;Papas tempranas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Solanum tuberosum;Solanaceas;Requiere suelos sueltos y bien drenados. Evitar suelos muy húmedos para prevenir enfermedades.;No;No;No aplica;Úlceras pépticas-Calma dolores de articulaciones y de espalda-Jaqueca;Febrero a Mar.;Directa;7 a 8 cm;20 a 40 días;-;30 cm;70 cm;90 días;;Febrero;Marzo;;;;;;;;;;"Febrero;Marzo"
;Sí;Pepino de ensalada;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Cucumis sativum;Cucurbitaceas;Necesita suelos húmedos pero bien drenados. Requiere tutores para un mejor crecimiento.;No;No;No aplica;Hidratante cutáneo-Diurético-Sirve para problemas renales;Sept. a Dic.;Dire/Alm;1 a 2 cm;3 a 7 días;30 a 40 días;40 cm;1 mt;120 días;;;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Septiembre;Octubre;Noviembre;Diciembre"
;Sí;"Puerro
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;"Allium ampelopresum var. porrum
";Aliaceas-Liliaceas (Amaryllidaceae);Necesita suelos ricos en nutrientes y riego constante. Evitar suelos encharcados.;No;No;No aplica;"Depurativo-Respiratorio-Reduce colesterol-Mejora circulación-Contiene:Vitaminas C,B6 y Minerales
";Sept. a Mayo;Almacigo;1 a 2 cm;10 a 12 días;15 a 20 cm;10 cm;30 cm;120 días;Enero;Febrero;Marzo;Abril;Mayo;;;;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Rabanitos;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Raphanus sativus;Brassicaceae;Cultivo rápido. Prefiere suelos sueltos y bien drenados.;No;Sí;P;Depurativo-Digestivo-Estimulante hepático-Rico en antioxidantes;Todo el año;Directa;0,5 a 1 cm;4 a 6 días;-;5 cm;40 cm;60 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;No;Repollo de invierno;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Brassica oleracea var. capitata;Brassicaceae;Prefiere climas frescos. Evitar suelos compactos y mantener riego regular.;No;Sí;P;Antiinflamatorio-Refuerza el sistema inmunológico-Rico en antioxidantes y vitaminas C y K;Todo el año;Almacigo;0,5 a 1 cm;5 a 6 días;30 a 40 días;40 cm;60 cm;100 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Rúcula;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Hortalizas y Verduras;Eruca versicaria;Boraginaceas;Crece en suelos ligeros y bien drenados. Prefiere pleno sol y riego moderado. Evitar temperaturas extremas.;No;Sí;P;Desintoxicante-Baja nivel de colesterol-Se usa para:Contra cáncer-Facilita digestión-Contiene: Vit.K,A,B9;Todo el año;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
